Name Surname HW1 HW2 HW3 HW4 HW5 Exam
Name1 Surname1 4 5 1 8 2 4
Name2 Surname2 4 1 6 9 10 7
Name3 Surname3 8 9 7 8 6 2
Name4 Surname4 4 6 9 9 4 6
Name5 Surname5 4 2 1 10 9 3
Name6 Surname6 3 1 5 6 4 1
Name7 Surname7 3 3 2 10 7 6
Name8 Surname8 3 4 8 5 4 5
Name9 Surname9 4 6 4 2 8 5
Name10 Surname10 6 7 8 3 9 6
Name11 Surname11 6 5 10 5 4 3
Name12 Surname12 5 4 3 1 4 7
Name13 Surname13 1 8 3 2 7 5
Name14 Surname14 6 2 2 3 5 7
Name15 Surname15 10 6 9 5 3 1
Name16 Surname16 7 8 6 6 8 3
Name17 Surname17 1 10 3 7 2 7
Name18 Surname18 7 6 5 3 1 3
Name19 Surname19 4 2 2 9 4 3
Name20 Surname20 6 4 8 3 6 3
Name21 Surname21 2 2 9 1 2 3
Name22 Surname22 4 7 6 3 9 4
Name23 Surname23 8 4 5 3 7 4
Name24 Surname24 4 4 8 2 5 5
Name25 Surname25 1 5 1 3 1 6
Name26 Surname26 3 1 7 7 10 6
Name27 Surname27 5 2 10 10 4 3
Name28 Surname28 6 2 8 4 4 9
Name29 Surname29 4 7 5 6 10 10
Name30 Surname30 4 10 9 3 9 10
Name31 Surname31 2 6 1 4 5 6
Name32 Surname32 2 2 4 10 10 3
Name33 Surname33 5 10 9 3 10 7
Name34 Surname34 3 7 4 4 5 1
Name35 Surname35 2 5 3 7 3 3
Name36 Surname36 1 2 7 4 1 5
Name37 Surname37 7 9 7 8 7 3
Name38 Surname38 5 7 9 4 2 2
Name39 Surname39 6 9 6 9 1 9
Name40 Surname40 8 3 5 4 5 10
Name41 Surname41 1 5 2 6 10 10
Name42 Surname42 8 1 3 7 5 2
Name43 Surname43 5 8 9 2 10 3
Name44 Surname44 1 9 6 6 5 10
Name45 Surname45 8 8 10 5 8 2
Name46 Surname46 5 2 2 2 6 7
Name47 Surname47 7 2 5 10 5 10
Name48 Surname48 4 1 10 2 1 2
Name49 Surname49 10 8 5 6 4 3
Name50 Surname50 1 10 6 8 2 4
Name51 Surname51 4 10 7 1 5 1
Name52 Surname52 3 9 1 5 3 1
Name53 Surname53 2 5 1 6 4 6
